Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1,10/19/2021,26-317,MIL,,BRK,W (+23),1,30:57:00,12,25,0.48,1,4,0.25,7,9,0.778,5,9,14,7,1,2,4,4,32,26.4,25
2,2,10/21/2021,26-319,MIL,@,MIA,L (-42),1,22:48,4,11,0.364,1,3,0.333,6,10,0.6,1,9,10,2,3,0,2,3,15,11.9,-25
3,3,10/23/2021,26-321,MIL,@,SAS,W (+10),1,30:24:00,7,15,0.467,1,2,0.5,6,8,0.75,0,8,8,8,0,3,5,4,21,16,19
4,4,10/25/2021,26-323,MIL,@,IND,W (+10),1,36:16:00,10,18,0.556,0,2,0,10,13,0.769,1,9,10,9,1,2,2,2,30,29.5,14
5,5,10/27/2021,26-325,MIL,,MIN,L (-5),1,34:53:00,15,23,0.652,3,6,0.5,7,9,0.778,4,12,16,7,0,3,2,1,40,40.1,9
6,6,10/30/2021,26-328,MIL,,SAS,L (-9),1,34:04:00,11,18,0.611,0,3,0,6,11,0.545,0,13,13,3,0,0,7,5,28,14.8,-3
7,7,10/31/2021,26-329,MIL,,UTA,L (-12),1,34:55:00,10,20,0.5,3,11,0.273,2,2,1,2,5,7,6,2,2,2,3,25,22.3,-10
8,8,11/2/2021,26-331,MIL,@,DET,W (+28),1,26:48:00,9,16,0.563,3,7,0.429,7,7,1,0,8,8,9,0,4,3,2,28,28.1,22
9,9,11/5/2021,26-334,MIL,,NYK,L (-15),1,30:30:00,7,17,0.412,2,7,0.286,9,11,0.818,1,6,7,4,2,0,3,3,25,18.2,-5
10,10,11/7/2021,26-336,MIL,@,WAS,L (-7),1,39:11:00,12,26,0.462,0,4,0,5,12,0.417,6,12,18,5,3,1,3,4,29,23.2,-6
11,11,11/9/2021,26-338,MIL,@,PHI,W (+9),1,36:13:00,12,26,0.462,0,2,0,7,13,0.538,1,15,16,4,0,2,0,1,31,24.2,13
12,12,11/10/2021,26-339,MIL,@,NYK,W (+12),1,37:40:00,5,15,0.333,2,5,0.4,3,4,0.75,2,13,15,8,1,2,3,4,15,14.8,21
14,13,11/14/2021,26-343,MIL,@,ATL,L (-20),1,33:44:00,9,21,0.429,1,5,0.2,7,12,0.583,1,4,5,6,1,1,3,5,26,15.7,-9
15,14,11/17/2021,26-346,MIL,,LAL,W (+7),1,36:17:00,18,23,0.783,3,4,0.75,8,11,0.727,2,7,9,3,1,1,4,1,47,39.8,1
16,15,11/19/2021,26-348,MIL,,OKC,W (+7),1,35:45:00,6,16,0.375,0,4,0,9,11,0.818,0,19,19,7,2,4,5,5,21,19.8,23
17,16,11/20/2021,26-349,MIL,,ORL,W (+9),1,30:22:00,8,16,0.5,1,3,0.333,15,23,0.652,2,18,20,5,2,3,5,4,32,28.6,15
18,17,11/22/2021,26-351,MIL,,ORL,W (+31),1,23:44,4,12,0.333,0,4,0,4,6,0.667,2,6,8,9,1,2,1,3,12,14.1,38
19,18,11/24/2021,26-353,MIL,,DET,W (+21),1,31:10:00,12,17,0.706,1,4,0.25,8,10,0.8,2,5,7,5,2,2,1,2,33,33.1,25
20,19,11/26/2021,26-355,MIL,@,DEN,W (+11),1,30:06:00,10,13,0.769,1,1,1,3,9,0.333,0,13,13,7,0,1,1,0,24,25,18
21,20,11/28/2021,26-357,MIL,@,IND,W (+18),1,32:40:00,10,15,0.667,0,2,0,6,10,0.6,4,9,13,3,0,1,5,1,26,20.8,12
22,21,12/1/2021,26-360,MIL,,CHO,W (+2),1,37:41:00,15,24,0.625,1,4,0.25,9,13,0.692,3,9,12,9,1,0,6,3,40,32.5,4
25,22,12/6/2021,27-000,MIL,,CLE,W (+8),1,27:21:00,9,19,0.474,3,3,1,6,7,0.857,3,9,12,2,0,1,4,5,27,17.8,14
26,23,12/8/2021,27-002,MIL,@,MIA,L (-9),1,32:36:00,4,13,0.308,0,2,0,7,12,0.583,1,5,6,4,1,1,3,3,15,8,-11
27,24,12/10/2021,27-004,MIL,@,HOU,W (+9),1,36:44:00,15,20,0.75,1,3,0.333,10,14,0.714,6,11,17,5,3,2,5,5,41,39.8,4
28,25,12/12/2021,27-006,MIL,@,NYK,W (+15),1,32:25:00,7,16,0.438,0,2,0,6,8,0.75,3,7,10,11,1,1,3,4,20,19.8,9
