Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
29,26,12/13/2021,27-007,MIL,@,BOS,L (-14),1,33:35:00,7,14,0.5,0,3,0,6,8,0.75,1,7,8,3,1,0,4,2,20,13.3,-19
35,27,12/25/2021,27-019,MIL,,BOS,W (+4),1,29:48:00,13,23,0.565,0,2,0,10,15,0.667,3,9,12,5,0,2,2,4,36,29.2,-1
36,28,12/28/2021,27-022,MIL,@,ORL,W (+17),1,29:34:00,10,19,0.526,1,4,0.25,7,10,0.7,0,6,6,6,0,1,2,5,28,20.2,13
37,29,12/30/2021,27-024,MIL,@,ORL,W (+18),1,30:55:00,13,22,0.591,1,4,0.25,6,6,1,2,10,12,5,2,2,4,4,33,28.5,17
38,30,1/1/2022,27-026,MIL,,NOP,W (+23),1,32:12:00,12,18,0.667,2,4,0.5,9,12,0.75,1,15,16,10,2,0,4,4,35,34.6,25
39,31,1/3/2022,27-028,MIL,,DET,L (-9),1,35:36:00,11,21,0.524,0,4,0,9,13,0.692,1,9,10,7,1,0,3,2,31,24.6,-12
41,32,1/7/2022,27-032,MIL,@,BRK,W (+12),1,26:47:00,11,17,0.647,2,5,0.4,7,10,0.7,1,6,7,9,0,0,4,3,31,25.9,16
42,33,1/8/2022,27-033,MIL,@,CHO,L (-8),1,36:44:00,11,20,0.55,3,6,0.5,18,20,0.9,2,10,12,3,1,2,3,5,43,36.5,-13
43,34,1/10/2022,27-035,MIL,@,CHO,L (-4),1,35:00:00,10,18,0.556,1,5,0.2,5,8,0.625,1,12,13,8,1,1,6,2,26,21,6
44,35,1/13/2022,27-038,MIL,,GSW,W (+19),1,29:58:00,11,17,0.647,0,2,0,8,12,0.667,2,10,12,11,0,3,5,2,30,29.3,22
45,36,1/15/2022,27-040,MIL,,TOR,L (-7),1,35:29:00,6,17,0.353,1,3,0.333,17,17,1,0,6,6,4,0,2,4,5,30,20.5,-9
46,37,1/17/2022,27-042,MIL,@,ATL,L (-7),1,36:59:00,8,20,0.4,1,3,0.333,10,14,0.714,1,5,6,6,1,1,5,4,27,16.1,-17
47,38,1/19/2022,27-044,MIL,,MEM,W (+12),1,31:13:00,12,25,0.48,2,4,0.5,7,8,0.875,3,12,15,7,2,1,5,6,33,25.8,10
48,39,1/21/2022,27-046,MIL,,CHI,W (+4),1,36:40:00,11,23,0.478,0,3,0,8,12,0.667,1,11,12,3,1,2,3,3,30,21,1
50,40,1/26/2022,27-051,MIL,@,CLE,L (-16),1,29:20:00,7,13,0.538,1,3,0.333,11,12,0.917,1,8,9,3,1,0,7,3,26,17.3,-11
51,41,1/28/2022,27-053,MIL,,NYK,W (+15),1,34:06:00,12,19,0.632,2,6,0.333,12,16,0.75,3,10,13,5,1,0,4,5,38,31.5,19
52,42,1/30/2022,27-055,MIL,,DEN,L (-36),1,30:47:00,9,19,0.474,1,5,0.2,10,15,0.667,2,7,9,2,1,1,1,1,29,22.5,-15
53,43,2/1/2022,27-057,MIL,,WAS,W (+14),1,37:58:00,14,21,0.667,0,3,0,5,5,1,2,13,15,11,0,2,2,3,33,35.1,14
54,44,2/5/2022,27-061,MIL,@,POR,W (+29),1,24:37:00,7,12,0.583,4,7,0.571,11,15,0.733,1,8,9,6,0,1,1,1,29,28.4,28
55,45,2/6/2022,27-062,MIL,@,LAC,W (+24),1,30:48:00,8,15,0.533,2,3,0.667,10,12,0.833,2,8,10,5,1,2,2,2,28,26.8,14
56,46,2/8/2022,27-064,MIL,@,LAL,W (+15),1,35:19:00,17,20,0.85,2,2,1,8,13,0.615,4,10,14,8,1,2,0,5,44,46.6,23
57,47,2/10/2022,27-066,MIL,@,PHO,L (-24),1,29:47:00,5,14,0.357,0,3,0,8,14,0.571,0,7,7,8,0,1,3,1,18,12.8,-18
59,48,2/15/2022,27-071,MIL,,IND,W (+9),1,36:08:00,17,21,0.81,2,3,0.667,14,18,0.778,4,10,14,4,0,0,3,3,50,44.9,7
60,49,2/17/2022,27-073,MIL,,PHI,L (-3),1,39:06:00,13,23,0.565,2,4,0.5,4,5,0.8,4,7,11,9,3,1,3,4,32,31,-9
61,50,2/26/2022,27-082,MIL,,BRK,L (-3),1,36:13:00,8,20,0.4,1,6,0.167,12,16,0.75,0,14,14,6,1,0,4,2,29,21.2,-8
62,51,2/28/2022,27-084,MIL,,CHO,W (+24),1,28:09:00,6,10,0.6,0,2,0,14,14,1,3,13,16,6,2,4,3,3,26,32.2,25
63,52,3/2/2022,27-086,MIL,,MIA,W (+1),1,34:24:00,9,20,0.45,1,4,0.25,9,11,0.818,4,13,17,5,2,1,4,4,28,24.1,7
64,53,3/4/2022,27-088,MIL,@,CHI,W (+6),1,38:48:00,12,22,0.545,0,2,0,10,19,0.526,4,12,16,5,2,1,4,4,34,26.8,15
65,54,3/6/2022,27-090,MIL,,PHO,W (+10),1,31:13:00,8,13,0.615,0,1,0,3,6,0.5,3,10,13,6,1,3,3,6,19,18.9,-8
66,55,3/8/2022,27-092,MIL,@,OKC,W (+27),1,27:46:00,13,19,0.684,4,4,1,9,13,0.692,1,6,7,7,3,1,1,3,39,38.2,18
67,56,3/9/2022,27-093,MIL,,ATL,W (+9),1,37:02:00,15,22,0.682,1,5,0.2,12,17,0.706,3,9,12,5,1,0,2,4,43,37.3,3
68,57,3/12/2022,27-096,MIL,@,GSW,L (-13),1,34:01:00,9,17,0.529,1,4,0.25,12,18,0.667,1,7,8,3,0,1,1,2,31,24.1,-26
69,58,3/14/2022,27-098,MIL,@,UTA,W (+6),1,33:52:00,12,24,0.5,0,2,0,6,7,0.857,1,14,15,4,1,0,1,5,30,23.3,4
70,59,3/16/2022,27-100,MIL,@,SAC,W (+9),1,34:54:00,12,23,0.522,0,2,0,12,16,0.75,2,8,10,2,2,1,2,3,36,27.8,5
72,60,3/22/2022,27-106,MIL,,CHI,W (+28),1,29:44:00,9,12,0.75,1,2,0.5,6,9,0.667,1,16,17,5,1,3,9,3,25,20.9,28
74,61,3/26/2022,27-110,MIL,@,MEM,L (-25),1,28:17:00,11,20,0.55,0,1,0,8,10,0.8,2,9,11,4,0,4,2,3,30,26.1,-10
75,62,3/29/2022,27-113,MIL,@,PHI,W (+2),1,37:30:00,16,24,0.667,1,3,0.333,7,10,0.7,3,11,14,6,1,3,3,3,40,36.9,3
76,63,3/31/2022,27-115,MIL,@,BRK,W (+1),1,39:19:00,14,21,0.667,1,4,0.25,15,19,0.789,4,10,14,6,1,0,8,1,44,35.9,12
78,64,4/3/2022,27-118,MIL,,DAL,L (-6),1,39:40:00,12,22,0.545,0,3,0,4,8,0.5,3,7,10,2,2,0,3,2,28,19.6,-9
79,65,4/5/2022,27-120,MIL,@,CHI,W (+21),1,24:00:00,7,13,0.538,1,2,0.5,3,5,0.6,2,7,9,7,0,0,2,5,18,15.3,12
80,66,4/7/2022,27-122,MIL,,BOS,W (+6),1,38:04:00,11,21,0.524,0,4,0,7,10,0.7,2,9,11,5,2,1,4,2,29,23,-1
81,67,4/8/2022,27-123,MIL,@,DET,W (+30),1,27:41:00,9,16,0.563,1,3,0.333,11,13,0.846,1,12,13,8,2,0,1,1,30,32.1,19
