Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
50,39,1/29/2023,28-054,MIL,,NOP,W (+25),1,30:20:00,20,26,0.769,3,4,0.75,7,12,0.583,3,10,13,4,0,0,3,5,50,40.7,16
51,40,1/31/2023,28-056,MIL,,CHO,W (+9),1,35:35:00,14,24,0.583,1,3,0.333,5,6,0.833,3,15,18,4,0,0,4,3,34,26.6,-7
52,41,2/2/2023,28-058,MIL,,LAC,W (+1),1,36:26:00,21,39,0.538,2,8,0.25,10,15,0.667,4,15,19,2,0,0,3,2,54,38,10
53,42,2/4/2023,28-060,MIL,,MIA,W (+8),1,35:58:00,13,19,0.684,0,2,0,9,16,0.563,1,14,15,11,1,1,3,2,35,34.6,19
54,43,2/6/2023,28-062,MIL,@,POR,W (+19),1,22:53,9,14,0.643,0,1,0,6,8,0.75,4,9,13,8,0,0,6,5,24,20.1,17
55,44,2/9/2023,28-065,MIL,@,LAL,W (+9),1,35:56:00,14,23,0.609,1,4,0.25,9,13,0.692,2,8,10,6,1,1,2,3,38,32.4,8
56,45,2/10/2023,28-066,MIL,@,LAC,W (+13),1,30:27:00,13,25,0.52,1,2,0.5,8,11,0.727,1,7,8,6,2,0,2,2,35,27.7,20
57,46,2/14/2023,28-070,MIL,,BOS,W (+6),1,45:55:00,12,26,0.462,1,3,0.333,11,19,0.579,1,12,13,9,0,2,8,4,36,21.8,14
58,47,2/16/2023,28-072,MIL,@,CHI,W (+12),1,9:20,1,4,0.25,0,1,0,0,0,,1,6,7,3,0,0,1,1,2,2.8,9
59,48,2/24/2023,28-080,MIL,,MIA,W (+29),1,6:28,2,4,0.5,0,0,,0,0,,0,4,4,4,0,0,0,0,4,6,5
61,49,2/28/2023,28-084,MIL,@,BRK,W (+14),1,28:28:00,15,27,0.556,1,2,0.5,2,6,0.333,3,12,15,4,1,0,5,4,33,21.4,11
62,50,3/1/2023,28-085,MIL,,ORL,W (+22),1,27:42:00,10,14,0.714,3,4,0.75,8,10,0.8,0,7,7,6,0,1,3,1,31,28,19
63,51,3/4/2023,28-088,MIL,,PHI,L (-3),1,35:25:00,9,21,0.429,0,3,0,16,18,0.889,4,9,13,4,1,1,7,5,34,23.1,-14
64,52,3/5/2023,28-089,MIL,@,WAS,W (+6),1,36:13:00,6,11,0.545,0,0,,11,15,0.733,1,8,9,13,0,3,3,1,23,27,15
68,53,3/13/2023,28-097,MIL,@,SAC,W (+9),1,33:57:00,19,28,0.679,2,2,1,6,7,0.857,1,11,12,4,1,0,5,2,46,35.6,15
69,54,3/14/2023,28-098,MIL,@,PHO,W (+12),1,35:18:00,11,23,0.478,0,3,0,14,24,0.583,4,7,11,8,1,1,3,1,36,29.1,11
70,55,3/16/2023,28-100,MIL,,IND,L (-16),1,26:34:00,10,17,0.588,0,0,,5,10,0.5,3,6,9,5,1,0,3,5,25,18.5,-10
71,56,3/19/2023,28-103,MIL,,TOR,W (+7),1,36:06:00,9,9,1,1,1,1,3,7,0.429,1,11,12,10,0,2,3,1,22,26.7,-10
72,57,3/22/2023,28-106,MIL,,SAS,W (+36),1,23:46,14,23,0.609,1,4,0.25,2,5,0.4,3,11,14,2,0,1,2,2,31,24,16
73,58,3/24/2023,28-108,MIL,@,UTA,W (+28),1,24:51:00,10,13,0.769,1,2,0.5,3,6,0.5,1,5,6,11,2,0,4,3,24,24.4,32
74,59,3/25/2023,28-109,MIL,@,DEN,L (-23),1,32:28:00,13,22,0.591,0,3,0,5,7,0.714,1,8,9,4,4,0,4,2,31,25.1,-15
76,60,3/29/2023,28-113,MIL,@,IND,W (+13),1,32:10:00,14,18,0.778,0,0,,10,14,0.714,3,14,17,12,1,0,5,1,38,39.7,20
77,61,3/30/2023,28-114,MIL,,BOS,L (-41),1,25:17:00,11,27,0.407,0,5,0,2,3,0.667,1,6,7,2,1,1,0,2,24,13.9,-32
78,62,4/2/2023,28-117,MIL,,PHI,W (+13),1,31:48:00,13,17,0.765,0,1,0,7,13,0.538,2,12,14,6,1,3,4,5,33,30.2,21
79,63,4/4/2023,28-119,MIL,@,WAS,W (+12),1,32:48:00,9,16,0.563,0,0,,10,17,0.588,0,11,11,10,2,1,8,3,28,21.4,18
